location,date,min_temp_C,max_temp_C
北部地區,2025-12-03,15.0,21.0
北部地區,2025-12-04,14.0,21.0
北部地區,2025-12-05,15.0,23.0
北部地區,2025-12-06,15.0,24.0
北部地區,2025-12-07,15.0,24.0
北部地區,2025-12-08,16.0,23.0
北部地區,2025-12-09,17.0,23.0
中部地區,2025-12-03,16.0,24.0
中部地區,2025-12-04,15.0,25.0
中部地區,2025-12-05,16.0,26.0
中部地區,2025-12-06,16.0,26.0
中部地區,2025-12-07,16.0,27.0
中部地區,2025-12-08,16.0,26.0
中部地區,2025-12-09,17.0,26.0
南部地區,2025-12-03,18.0,27.0
南部地區,2025-12-04,16.0,25.0
南部地區,2025-12-05,18.0,26.0
南部地區,2025-12-06,18.0,27.0
南部地區,2025-12-07,18.0,28.0
南部地區,2025-12-08,19.0,27.0
南部地區,2025-12-09,19.0,27.0
東北部地區,2025-12-03,16.0,20.0
東北部地區,2025-12-04,16.0,19.0
東北部地區,2025-12-05,17.0,20.0
東北部地區,2025-12-06,17.0,22.0
東北部地區,2025-12-07,18.0,23.0
東北部地區,2025-12-08,18.0,21.0
東北部地區,2025-12-09,18.0,22.0
東部地區,2025-12-03,19.0,22.0
東部地區,2025-12-04,18.0,20.0
東部地區,2025-12-05,19.0,21.0
東部地區,2025-12-06,19.0,23.0
東部地區,2025-12-07,19.0,23.0
東部地區,2025-12-08,20.0,24.0
東部地區,2025-12-09,20.0,23.0
東南部地區,2025-12-03,19.0,24.0
東南部地區,2025-12-04,18.0,22.0
東南部地區,2025-12-05,19.0,23.0
東南部地區,2025-12-06,19.0,24.0
東南部地區,2025-12-07,20.0,25.0
東南部地區,2025-12-08,20.0,26.0
東南部地區,2025-12-09,20.0,24.0
